text,score
"הצעת חוק-יסוד: הממשלה (תיקון מס׳ 10) (מ/1410). ינמק, נציג משרד המשפטים, עורך הדין יעקב פרידברג. הוא כאן איתנו? עוד לא הגיע. הצעת חוק הביטוח הלאומי - - -
",3
"איזה סעיף?
",2
"תקשיבו רגע, רצינו להתחיל עם הסעיף הראשון של חוק-יסוד: הממשלה, אבל עורך הדין יעקב פרידברג לא נמצא כאן. 
",3
"כולנו הגענו לכאן ואנחנו מחכים למר יעקב? 
",5
"מה עם סעיף א?
",3
"הוא יעלה כשיהיה רצון להעלות אותו, כרגע הוא לא על סדר היום. הצעת חוק לתיקון פקודת התעבורה (מס׳ 120) (תיקון מס׳ 2), התשפ״א–2021 (מ/1415). מדובר בסעיף 8, אנחנו הולכים לפי נציגי המשרדים שנמצאים כאן. עורכת הדין חווה ראובני, בבקשה. 
",4
"תודה רבה לגברת ראובני שבאה בזמן.
",2
"למה אנשי הממשלה לא הגיעו בזמן? 
",5
"רגע, הפסקה, טלפון .
",3
"אלקין נותן הוראות. 
",4
"תמסרי לזאב בוקר טוב. 
",1
"אוקיי, חבר'ה, באים עוד יומיים. 
",3
"אני לא מאמינה, אני לא מאמינה, זה מה שאתה רוצה עכשיו להגיד לי? אני לא מאמינה, אני לא מאמינה. 
",5
"זאב, לא עושים את זה. 
",3
"תנו לה לדבר בבקשה, אני אוציא לסדר היום, חבל על הזמן. 
",6
"אל תאיימי, אפשר להגביר את המזגן?
",5
"עורכת הדין ראובני, בבקשה. 
",1
"בוקר טוב. 
",1
"אל תפריעו לה, תאכלו ותשתו, אל תפריעו לה. 
",2
"מותר לאכול?
",1
"כן. 
",1
"בוקר טוב, פקודת התעבורה פקודת התעבורה (מס׳ 120) (תיקון מס׳ 2), התשפ״א–2021 (מ/1415). 
",1
"רגע, איפה זה?
",3
"חברים, אל תפריעו, אל תעצרו אותה. מי שלא מחזיק ראש, תחפשו את זה בחומר, זה בעמוד השני. מדובר בסעיף 8 על סדר היום. 
",3
"אמרת להיות ב-08.30. 
",4
"שקט, די, חבר הכנסת יעקב אשר, תכבד. 
",5
"אה, שאני אכבד? 
",6
"כן, אתה צועק, תכבד.
",5
"את לא נותנת לנו לדבר מילה. 
",6
"אתה תדבר בזמן שלך. 
",5
"את לא נותנת לנו הצעות לסדר, את אומרת לי לכבד.
",6
"אתה תדבר בזמן שלך? 
",5
"טלי קורה מבין עינייך, טלי קורה מבין עינייך.
",6
"לא, אתה תיטול קורה. 
",4
"גם עם חינוך , גם עם חיוך - - -
",5
"אתה תיתן לה לדבר. 
",5
"חבר הכנסת אשר, אני קוראת אותך לסדר בפעם הראשונה. 
",4
"יש לנו דיון ארוך, אתה - - -
",4
"אמרת שהתגעגעת. 
",2
"חווה ראובני, בבקשה. 
",1
"לדיון בניהול שלנו, לא בניהול הזה. 
",4
"פקודת התעבורה (מס׳ 120) נוסד ב-2018 ונועד להסדיר את ענף מוניות השירות - - - בסדר החדש. מעבר מ- - - בודדים בהפעלה ספורדית לאשכולות ש- - -. 
",
"אני מציע, חברי הסיעה, שנצא להתייעצות סיעתית. 
",4
"אם אתם רוצים לצאת להתייעצות אז אתם יכולים. 
",1
"במסגרת זו - - -
",4
"במסגרת הבחירות התעסקנו עם - - - והבטחנו - - -. תגידי מה היה בהול. 
",
"חברים, יש הבדל בין נציג משרד ממשלתי לבין פוליטיקאי. נא להתייחס בכבוד. 
",3
"חבר הכנסת פרוש, אתה מפריע ליועצת המשפטית, בבקשה לכבד אותה ולא להיכנס לדבריה. אני מבקשת, הדיון יתנהל בסדר מופתי היום.
",3
"אני מבקש לכבד את עובדי המדינה שמגיעים לכאן, אנחנו לא מכים את המקל. 
",2
"תודה רבה, חבר הכנסת מרגי. 
",1
"במסגרת תיקון 120 - - - לקווי שירות במוניות - - - אשכולות קווים בהליכים תחרותיים. 
",2
"תצאו בשקט, תודה. עורכת הדין, בבקשה. 
",2
"ארבל, אנחנו יוצאים, אין לה קוורום. 
",5
"קוורום צריך רק להצבעה, לא לדיון. אתם יכולים לצאת, זה בסדר. 
",1
"אני מבקש לשאול את נציגת משרד התחבורה מה מתגבש בעניין הטמפרטורה ברכבת כי אנחנו מאוד מוטרדים. 
",5
"היועצת המשפטית, בבקשה.
",1
"הרגתם אותנו. בתי אבות מלאים בנשים, הפנסיות שלנו אצלכן, מה עוד אתן רוצות?
",6
"יעקב מרגי, אני קוראת אותך לסדר בפעם הראשונה. 
",3
"כיוון שנקבע שיש צורך לקיים הליכים תחרותיים – תהליך שלוקח זמן – נקבע - - -
",4
"- - - קוורום - - - 
",
"חבר הכנסת דוד ביטן, נקראת לסדר פעם ראשונה, תודה. 
",5
"- - - שבא במקביל קווים הקיימים יוכלו להמשיך לפעול בפורמט - - - הקודם. אפשר יהיה - - -
",
"אנחנו לא שומעים אותה. 
",4
"זו בעיה שלכם, אתם מרעישים. 
",5
"לא, זו בעיה שלך, זו לא בעיה שלנו. 
",6
"היועצת המשפטית, המשיכי. 
",1
"אני מנסה להסביר. 
",5
"את תסבירי ומי שמקשיב לך – מקשיב. אנחנו לא ניתן התייחסות נוספת. 
",4
"אני לא אחראית לרעשי הרקע. 
",4
"את לא אשמה. 
",2
"ברור שאת לא אשמה. 
",3
"העירו אותנו מוקדם היום.
",4
"לא נורא, תסתדר.
",5
"סליחה, זה נמאס, איך יכול להיות שאנחנו יושבים פה כבר שבועיים, אנחנו כל הזמן אומרים שיש בעיה עם המיקרופונים ואף אחד לא מטפל בזה. 
",6
"העברתי את זה הלאה וטיפלו בזה פעמיים. תראו, ברמת העיקרון שומעים את כולם ואני שומעת אותך כי אני פשוט בשקט. אתם מדברים - - -
",4
"את לא בשקט לשנייה, עידית. 
",6
"אתם מדברים אחד ליד השני אז אתם לא יכולים לשמוע אותה. תנו לה לדבר. 
",4
"מהתחלה בבקשה כי לא הבנו כלום.
",5
"אני מבקשת שקט. 
",3
"באיזה סעיף אנחנו?
",1
"אתה שואל אותי באיזה סעיף אנחנו אחרי שאתה מאחר? 
",5
"כן. 
",1
"לא, אתה תשאל את מי שיושב לצדך.
",5
"אל תענה, למה מי את בכלל, מי את בכלל? תעני כמו ילדה טובה. 
",7
"אני לא אענה לך כמו ילדה טובה. 
",6
"אתה לא תדבר ככה אל יושבת-ראש הוועדה. 
",6
"אתה מאחר לוועדה, מיקי, קראתי אותך לסדר בפעם הראשונה. אתה מאחר לוועדה, אם אתה מאחר לוועדה - - - 
",6
"- - - 
",
"אתה מאחר לוועדה ועוד מפריע באמצע. תתבייש, חבר הכנסת מיקי זוהר. 
",7
"מה היא נותנת לו ציונים.
",5
"הוא לא יקרא לה: ""ילדה טובה"" והוא לא יקרא לה: ""ילדה"". היא חברת כנסת ויושבת-ראש ועדה - - - 
",6
"זה לא ענייני, מה זה הסגנון הזה? 
",3
"חבר הכנסת שמחה רוטמן, אני קוראת אותך לסדר בפעם הראשונה.
",4
"זה בלתי-נסבל. 
",3
"למה - - - את לא קוראת לסדר? הוא צועק פה באמצע שמישהו מדבר. 
",6
"יוראי, היא לא למדה לקח מאתמול כשהיא העירה לי על האיחור. 
",4
"הוא לא יכנה אותה ""ילדה טובה"". 
",5
"בבקשה, בבקשה, אני מבקשת שקט ותתנו לה לדבר. חבר הכנסת יעקב מרגי, חבר הכנסת יעקב מרגי, נקראת לסדר כבר. 
",3
"- - - זה בסדר, העירו אותנו מוקדם.
",4
"אבל היא לא אשמה, באמת.
",1
"אני רגילה לקום מוקדם, אני במשרד - - -
",4
"זה נראה לכם הגיוני שהיא לא מצליחה לדבר? 
",5
"תנו לה לדבר, די. 
",5
"חברת הכנסת אורית סטרוק, די. 
",5
"אבל אנחנו מתעוררים לאופוזיציה.
",4
"אני חילונית גמורה אבל אנחנו בבין המצרים, היזהרו בדבריכם. 
",3
"תודה, חברת הכנסת גבי לסקי. 
",2
"אני מצטרף לדברים של חברת הכנסת גבי לסקי. 
",1
"עורכת הדין חוה ראובני, בבקשה. מי שיעז להפריע לה ייקרא לסדר. 
",5
"יוראי - - - בקשב רב. 
",2
"חברי הכנסת מכירים אותי שנים, אני בחיים לא ראיתי התנהלות כזאת. 
",5
"עורכת הדין ראובני, אני מתנצלת בשמם. 
",1
"בחיים לא ראינו כזאת קואליציה. 
",6
"אלו רק חברי האופוזיציה שמרעישים, אני מתנצלת בשמם, קבלי את התנצלותי. 
",2
"תתנצלי בשמך. 
",5
"את יכולה להתחיל מהתחלה ושנשמע אותך?
",5
"אנסה פעם נוספת. תיקון 120 לפקודת התעבורה נחקק ב-2018 והסדיר מחדש את ענף מוניות השירות באופן שבמקום קווים אקראיים שמופעלים כקווים בודדים על פי שיקול דעת המפעילים, בלי כללים ובלי רגולציה, יעברו וישתלבו בתוך התחבורה הציבורית עם הליכים תחרותיים, אשכולות מסודרים, רב-קו, סדר לוחות קבוע ומבנה מסודר ומאורגן של תחבורה ציבורית. יציאה להליך מכרזי זה דבר שלוקח זמן. יצאנו במכרזים לעשרה אשכולות, היו קשיים רבים מאוד גם לעשרת האשכולות הראשונים – קשיים בהצטיידות, בלימוד, מפעילי המוניות לא ממש הבינו במה זה שונה ממה שהם עשו עד אז ואז גם באה הקורונה ואין נוסעים ואין פעילות. כתוצאה מזה עצרנו את הפעלת יציאה למכרזים נוספים כדי להפיק לקחים מהמכרזים הראשונים. 
",3
"במסגרת החוק נקבעה תקופת מעבר שבמהלכה - - - ימשיכו לפעול כדי שימשיך להינתן שירות. הוקצו לכך שנתיים. התהליך של מכרזי האשכולות היה איטי מהסיבות שהזכרתי, אף - - - עדיין - - - עשרה קווים שפועלים במתכונת הישנה עם כ-200 מוניות. אנחנו מבקשים לתת למפקח על התעבורה סמכות - - - אותם עד סוף השנה. השרה הנכנסת תגבש עמדה ומדיניות לגבי - - -
",
"כשהיא תסיים את הטיפול במזגנים. 
",3
הצעת חוק ברוח זו כבר הוגשה בחורף שעבר אך לא הייתה אפשרות לקדמה. ,2
ההסדר הנוכחי פוקע בשבוע הבא ולכן אנחנו מבקשים לזרז את הדיון בהצעת החוק. ,2
"מדובר בשורה אחת של החלפת תאריך ה-3 בדצמבר 2020 ב-31 בדצמבר 2021. 
",2
"האם הקווים המדוברים פועלים גם בשבתות? 
",2
"אני לא יודעת לומר לגבי כל אחד מהקווים. ככלל, הם פועלים כמו שהם פעלו בעבר. 
",2
"מה היה בעבר?
",3
"יפעלו בשבתות, כן או לא? 
",4
"חלקם כן וחלקם לא, אני לא יודעת להגיד. 
",3
"את יכולה בבקשה לבדוק ולתת לנו תשובה במהלך הדיון? זה משמעותי עבורנו. 
",3
"אני יכולה לבדוק. חלקם הם קווים שבמגזר הערבי כמו במזרח הערבי ובגשר אלנבי. 
",2
"במגזר היהודי.
",
"אנחנו נשמח מאוד מאוד לתשובה, בבקשה. 
",2
"אנחנו עוברים לדוברים. שמחה רוטמן, בבקשה. 
",1
"אני רוצה לשאול.
",2
"אתה תשאל בתורך.
",5
"אבל היא מציגה חוק. 
",4
"מנהלת הוועדה נועה. 
",
"עכשיו אנחנו עם שמחה רוטמן. 
",3
"האם יש נוהל כזה להיות רשום באופן קבוע. 
",3
"יש שתי דקות לכל אחד. 
",4
"וצריך להירשם בכל פעם?
",3
"כן. 
",1
"סעיף 1 היה כבר? 
",2
"לא, זה לפי סדר שהיא קובעת. אני אשמח מאוד אם לא ייקטעו דבריי הפעם. אני רוצה - - -
",6
"רשמת את ביטן?
",1
"מי שרוצה שירים יד. 
",3
"אני - - - ניסיתי להבין, האמת היא שראיתי גם את כל הביטויים הלא - יפים שנכתבו בקבוצה של הוועדה המסדרת, גם מה שנכתב כלפי יושבת-ראש הוועדה, עידית, כל מיני ביטויים קשים.
",2
" ראיתי גם ביטויים קשים נגד חברי ועדה מהימין, מהשמאל, מתומכי הטרור, כולם ברוך השם. ",3
"גם אתה הצטרפת למקהלה? 
",5
"לתומכי הטרור? 
",
"חבר הכנסת אוסאמה סעדי, אל תפריע. 
",5
"אני לא הצטרפתי למקהלת תומכי הטרור. 
",4
"אל תפריעו, תנו לבן אדם לדבר.
",5
"כשהוא אומר ביטויים כאלו אני חייב להפריע, מה זה? 
",4
"סליחה, אני לא רוצה - - -
",3
"את בעצמך צריכה למחות. 
",5
"אז אחרי שהוא יסיים - - - אבל הוא לא דיבר על תומכי טרור עכשיו.
",4
"אוסאמה - - - 
",
"הוא לא דיבר על תומכי טרור עכשיו, מה יש לך? 
",6
"- - -
",
"אבל הוא לא דיבר על תומכי טרור, איפה - - -
",4
"הוא אמר: ""תומכי טרור"" למה אתה אומרת שלא? 
",5
"אני אמרתי, את לא מקשיבה לי. אני אמרתי תומכי טרור. 
",5
"אוסאמה סעדי, הוא לא דיבר על אף אחד עכשיו באופן אישי. 
",3
"הוא דיבר על עב""מים? 
",4
"למה אתה צועק? יגיע תורך ותדבר. אל תיכנסו אחד לדבריו של השני. 
",5
"אוסאמה, למה אתה חושב שהוא התכוון אליך?
",4
"אני מגן על רע""מ. 
",2
"אוסאמה סעדי, אני קוראת אותך לסדר בפעם הראשונה. חבר הכנסת רוטמן, אני אגן על זכותך לדבר.
",4
"אני מעריך זאת. אני חייב לומר שהאחווה בין אוסאמה סעדי לבין וואליד טאהא מרשימה מאוד. 
",4
אני חשבתי שמי שיקפוץ להגנתו של חבר קואליציה תומך טרור תהיה דווקא חברת קואליציה ולא אתה. אבל אני רואה שאופוזיציה דואגת לקואליציה יותר ממה שהיא דואגת לעצמה. ,5
"אתה מבזבז מהזמן שלך. 
",5
"אני לא מבזבז מהזמן שלי, אני מדבר בדיוק מה שאני רוצה, אני יודע שזה מפתיע אותך. ",5
אני חשבתי שמי שיקפוץ להגנתו של חבר קואליציה תומך טרור תהיה דווקא חברת קואליציה ולא אתה. אבל אני רואה שאופוזיציה דואגת לקואליציה יותר ממה שהיא דואגת לעצמה. ,6
"זה הדבר שבספר משלי מרגיז מאוד אנשים, כך לפחות אמר החכם מכל אדם. מאחר ואתמול אנחנו דיברנו על שלמה המלך, מי האם האמיתית ומה האם הלא אמיתית. גם שם היה מדובר על אירוע שהרגיז את כל הארץ. אני הבנתי כתוצאה מ- ""עבד כי ימלוך"" שאנחנו חווים פה בשבועות האחרונים מדוע כולם כל כך מתרגזים. זה לא מצדיק כמובן תגובות קשות. 
",5
"מי העבד ומי המלך? בלי רמזים. 
",5
"נפתלי בנט זה העבד כי ימלוך. 
",5
"אני מבקשת לא להפריע, לא לתת פירושים. 
",3
"אנחנו עוזרים לו, זכותי לברר למה הוא מתכוון. 
",5
"לא, לא זכותך באמצע. חבר הכנסת מרגי, לא זכותך להפריע באמצע. 
",5
"בזמן שאדבר לא אדבר על מהות אלא על צורת הניהול שלך. 
",5
"אני אשמור שאף אחד לא ידבר בזמן שתדבר. שמחה רוטמן אמר שזה מפריע לו שנכנסים לדבריו וזה קוטע לו את רצף המחשבה. אני אשמור על זה.
",3
"אני מעריך את זה. מה שאני רוצה להודות כאן, מאחר שהמפלגה קיבלה בהתחלה שבעה מנדטים אז לכם מתאים: ""שלושה המה נפלאו ממני וארבעה לא ידעתים"", ביחד זה יוצא שבעה. חבר הכנסת מרגי ביקש הסבר. עבד כי ימלוך - - -
",4
"יש לך עוד 30 שניות. 
",2
"ב-30 שניות אני יודע להסביר מצוין. עבד כי ימלוך זה נפתלי בנט כמובן. נבל כי ישבע לחם זה ליברמן שאחראי על הלחם בממשלה. הוא האחראי והוא המשביר. שנואה כי תיבעל ושפחה כי תירש גבירתה, כדי לשמור על כבודם של הרבה מאוד אנשים אני אשאיר לכם. הדבר הזה מרגיש את הארץ ולא רק את מי שיושב בוועדה. 
",6
"שפחה כי תירש גבירתה זה עבאס. 
",5
"אתם מקבלים את התחושה הזאת בכל מקום, ברחובות, וגם בוועדה. 
",5
"איך זה להיות נבחרי ציבור כשאף אחד לא אוהב אתכם? 
",6
"תודה לחבר הכנסת רוטמן. חבר הכנסת אשר, בבקשה.
",2
"להיות נבחר ציבור כשאף אחד לא אוהב אותך, כולם שונאים אותך. 
",6
"לא להפריע, לא להפריע. חבר הכנסת יעקב אשר, בבקשה. 
",5
"אפשר לתפקד כנבחר ציבור כשאף אחד לא אוהב אותך?
",6
"אתה רואה? אנחנו מקבלים ים אהבה ברחוב וים אהבה מהעם.
",2
"מהדגלים השחורים. 
",
"אם עם ישראל טוב לו מימין ומשמאל אז אני מאושרת, קדימה. יעקב אשר, בבקשה, שתי דקות.
",1
"איך ההרגשה שמישהו מודד לך זמנים? אני רוצה לומר לנציגת משרד התחבורה - - -
",5
"תדבר בבקשה.
",2
"אני רוצה לדבר כשכולם שומעים. 
",3
"מה, הבאת בורקס מיפו? 
",3
"חברים, זה נראה לכם מתאים שם? איפה אתם חושבים שאתם נמצאים? חברת הכנסת אפרת רייטן, אני מאוד אוהבת אותך וזה לא לעניין.
",6
"היא מתנשאת עלייך. 
",6
"אני לא מתנשאת על אף אחד. 
",3
"אני מקבלת את זה באהבה. 
",2
"אתה רואה, ככה מתנהגים באהבה. 
",2
"את לא מראה שום דבר וזה מבטיח לך עתיד פוליטי קודר נכון לרגע זה. את לא בדרך הנכונה.
",5
"אל תדאג לי, אני אדאג לך, אני אדאג לעתיד הפוליטי שלך. 
",5
"את לא במסלול הנכון. 
",5
"חבר הכנסת יעקב אשר, בבקשה. 
",1
"אין לך מה לדאוג לעתיד הפוליטי שלי, זה רק מצביעי הליכוד יכולים לעשות.
",4
"בינתיים הוא לא בגד בבוחרים שלו, את לא צריכה לדאוג לו. 
",5
"גלית דיסטל, זה לא הזמן שלך לדבר, תודה. חבר הכנסת יעקב אשר, תודה. 
",4
"אני רוצה לומר לנציגת משרד התחבורה: את פשוט נקלעת למקום, יושבים פה אנשים סביב שולחן שישבו סביב הרבה שולחנות ואף פעם לא הרגישו את הצורה הזאת לא כשהם היו פה ולא כשהם היו כאן.
",4
" שום דבר לא קשור אלייך, תעשי את עבודתך נאמנה, הכול בסדר. ",3
"גבירתי היושבת-ראש, בימים האחרונים אנחנו צריכים להרים את הקול ולצעוק. אני חושב שיש דבר שנקרא שפת גוף, שאולי את צריכה להבין בתור מחנכת, משהו פה לא עובד נכון גם ביחסים של קואליציה ואופוזיציה. קחי שנייה פסק זמן לעצמך ואני אשמח שתלכי למסיבה של הבן שלך. 
",4
"ויפה שעה אחת קודם. 
",2
"ברצינות, את פשוט מביאה אותנו למקומות שבהם לא היינו אף פעם אבל אם נצטרך, נהיה שם בגדול, גם אם זה לא תמיד מכובד, גם אם זה לא תמיד יפה. גם אם הנכד שלי אומר שהראו לו סרטון שמוציאים אותי החוצה והוא שואל: "" מה עושים לסבא""?
",5
"סיפרת לו מה סבא עושה?
",1
"תעשי מה שאת רוצה כדי לשבת על הכיסא, אנחנו לוקחים את זה בחשבון, אבל אני כן מציע, אני מתאר לעצמי שאת רוצה לבלות בבניין הזה הרבה שנים. 
",4
"בסייעתא דשמייא. 
",1
"יש פה חברויות, את נמצאת בקצה - - -
",5
"ונשמרתם לנפשותיכם זה גם משפט שכתוב. 
",4
"די.
",5
"את נמצאת בקצה של העניין הזה בחיוך ובשקט כביכול, אבל את על הקצה.",6
לא יכול להיות שיטרטרו אותנו בצום ונפנפו לנו בצום כדי להרגיע את מצפונינו. ,5
"לא יכול להיות שתעמדי על כך שנבוא ב-08:30 וכשאנחנו מגיעים – וזה בסדר, אם צריך נהיה גם ב-06:00 – אז כל חברייך מהקואליציה לא נמצאים פה ואת מתחילה לשנות את סדר היום.
",5
" הוצאת אותנו מהבית בתקווה שאולי נגיע מאוחר ותצליחי לחטוף הצבעה – בחיוך, בדרכי נועם.",6
"ממש לא. יש לך 30 שניות. 
",5
"תני לדבר. 
",6
"את מפריע לי לדבר.
",5
"יש לך עוד 30 שניות. 
",3
"מה זה משנה אם יש לי 30 שניות. אז תעצרי אותי כל חמש שניות. 
",6
"- - - מה לעשות, שתי דקות לכל אחד. 
",3
"דרכי דרכי נעם – אני יודע – ושבת של שלום. 
",1
"אמן.
",
"את מתנהגת עם כלי מלחמה לא מקובלים שלא היו פה בבניין הזה.
",6
"חבר הכנסת אשר, תם זמנך. חבר הכנסת מרגי, בבקשה.
",1
"אבל לא תמו 30 השניות. 
",4
"חבר הכנסת מרגי, בבקשה.
",1
"הנה קיבלתם דוגמה חיה.
",4
"חבר הכנסת מרגי, בבקשה. 
",1
"- - - מתורבתים - - - לא באו מבני ברק - - -
",5
"בבקשה, שתי דקות. 
",1
"לא נותנת לדבר, דורסנות עם חיוך. 
",5
"חבל שאתה מדבר ככה, חבל שאתה מדבר ככה.
",3
"מה זה? את גומרת את הקריירה הפוליטית שלך מחר?
",5
"בבקשה, חבר הכנסת מרגי. 
",1
"תתביישי. 
",6
"בוקר טוב.
",1
"- - -
",
"- - -
",
"יעקב אשר. 
",
"יפה. חבר הכנסת מרגי, בבקשה. 
",
"- - - הצבעה.
",
"גבירתי, אני לא אדבר על - - -
",
"ניר, איפה היית? אנחנו באים בזמן ואתה לא בא בזמן? 
",5
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"- - -
",
"היה פה דיון, את לא היית בו. 
",5
"- - - היא שמעה וזה היה - - -
",
"אני מבקשת לא להפריע - - -
",3
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"חברים, סליחה, סליחה. אני מבקשת לעצור, עכשיו הזמן של חבר הכנסת יעקב מרגי, בבקשה. 
",5
"מיכל, את מפריע לי. 
",5
"חבר הכנסת מרגי, בבקשה. 
",1
"אני יכול להפריע לכל אחד עם הטונים שלי - - -
",6
"נכון - - -
",
"לא, את לא תפריעי לי. אני מנסה לדבר כבר ארבע דקות. 
",6
"בסדר, היא פשוט יצאה נגדי - - -
",3
"תקשיבו, המחזות פה - - -
",5
"די, תנו לו לדבר.
",5
"ה 
",
"המחזות כאן עוברים כל גבול. 
",5
"אתה רוצה? זה יהפוך אותך לימני.
",4
אני רציתי לכתוב לך אמש ואני חושב שטוב עשיתי שלא כתבי.,3
"לחשוב על אדם דתי – עזבי י""ז בתמוז, לא השתמשתי בזה – אדם דתי שצריך לקום בבוקר, ללכת לבית הכנסת, לנסוע שעה וחצי אם אין פקקים, ולהגיע לפה ב-08:30.",3
 לא כתבתי כי אין לי ציפיות. עשיתם מעשה שלא ייעשה. ,5
